DateTime	API Name	Method	URL	Status Code	Response Time(ms)	Result	Speed Status	Error
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	109	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	76	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	76	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	75	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	69	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	74	PASS	FAST	
"04/30/2026, 11:05:24"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	79	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	73	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	80	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	80	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	81	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	80	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	79	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	81	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	75	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	82	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	74	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	80	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	72	PASS	FAST	
"04/30/2026, 11:05:25"	Bill Calculator	GET	https://dev-api3.davao-water.gov.ph/dcwd-erp-billing-collection/api/v1/billing/bill-calculator?accountNumber=051649713&ratesKey=02-01-2014&meterMaintenanceChargeFlag=1&consumption=25	200	74	PASS	FAST	
